Loc_name,Status,Score,Match_type,Match_addr,Addr_type,City,Postal,Country,Distance,X,Y,idm,year,rank_1,company_na,address,address2,city_1,zip,industry,foundingye,revenue,employees,growth,high,county,state_name,county_nam,state_code,cbsa,metro,full_name,FID_2,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
USA.PointAddress,M,100,A,"4915 Steptoe St, Las Vegas, Nevada, 89122",PointAddress,Las Vegas,89122,USA,0,-115.039014,36.09846,20112708,2011,2707,Sky Zone Indoor Trampoline Park,4915 Steptoe St. Ste. 400, ,Las Vegas,89122,Consumer Products & Services,0,4348950,120,0.831137,1,32003,NV,Clark County,32,29820,"Las Vegas-Paradise, NV Metropolitan Statistical Area","Las Vegas-Paradise, NV",92,32,3,5016,32003005016,50.16,Census Tract 50.16,G5020,S,7284361,0,36.092346,-115.0184008
USA.PointAddress,M,100,A,"5584 S Fort Apache Rd, Las Vegas, Nevada, 89148",PointAddress,Las Vegas,89148,USA,0,-115.297427,36.08742,20102152,2010,2150,eBizAutos,5584 S Fort Apache Rd, ,Las Vegas,89148,Software,2001,10962075,98,1.208,1,32003,NV,Clark County,32,29820,"Las Vegas-Paradise, NV Metropolitan Statistical Area","Las Vegas-Paradise, NV",99,32,3,5851,32003005851,58.51,Census Tract 58.51,G5020,S,4060436,0,36.0925869,-115.2928868
USA.StreetAddress,M,90.92,A,"6056 S Durango Dr, Las Vegas, Nevada, 89113",StreetAddress,Las Vegas,89113,USA,0,-115.279298,36.0785,20153904,2015,3904,Capriotti's Sandwich Shop,6056 South Durango,Suite 100,Las Vegas,89113,Food & Beverage,1976,72794669,140,0.7629,1,32003,NV,Clark County,32,29820,"Las Vegas-Paradise, NV Metropolitan Statistical Area","Las Vegas-Paradise, NV",100,32,3,2974,32003002974,29.74,Census Tract 29.74,G5020,S,4741303,0,36.0795179,-115.2700757
USA.StreetAddress,M,90.92,A,"375 N Stephanie St, Henderson, Nevada, 89014",StreetAddress,Henderson,89014,USA,0,-115.046444,36.054285,20143277,2014,3277,eCreditAdvisor,375 N Stephanie #711,375 N Stephanie #711,Henderson,89014,Financial Services,2005,2268715,29,1.0417,1,32003,NV,Clark County,32,29820,"Las Vegas-Paradise, NV Metropolitan Statistical Area","Las Vegas-Paradise, NV",135,32,3,5108,32003005108,51.08,Census Tract 51.08,G5020,S,1443103,0,36.0485775,-115.0510218
USA.StreetAddress,M,100,A,"1125 American Pacific Dr, Henderson, Nevada, 89074",StreetAddress,Henderson,89074,USA,0,-115.033914,36.041812,20120844,2012,844,K2 Energy Solutions,1125 American Pacific Drive,Suite C,Henderson,89074,Energy,2006,10605179,71,4.038,1,32003,NV,Clark County,32,29820,"Las Vegas-Paradise, NV Metropolitan Statistical Area","Las Vegas-Paradise, NV",136,32,3,5109,32003005109,51.09,Census Tract 51.09,G5020,S,3536890,0,36.0461087,-115.0374032
USA.StreetAddress,M,100,A,"102 Corporate Park Dr, Henderson, Nevada, 89074",StreetAddress,Henderson,89074,USA,0,-115.034646,36.036135,20151940,2015,1940,New Look Collision Center,102 Corporate Park Dr., ,Henderson,89074,Consumer Products & Services,2004,10274488,55,2.0382,1,32003,NV,Clark County,32,29820,"Las Vegas-Paradise, NV Metropolitan Statistical Area","Las Vegas-Paradise, NV",136,32,3,5109,32003005109,51.09,Census Tract 51.09,G5020,S,3536890,0,36.0461087,-115.0374032
USA.Postal,M,100,A,"89014, Henderson, Nevada",Postal,Henderson,89014,USA,0,-115.086704,36.06224,20120943,2012,943,Sting Alarm,Sting Alarm,5 Longevity Dr.,Henderson,89014,Security,2003,4489793,46,3.427,1,32003,NV,Clark County,32,29820,"Las Vegas-Paradise, NV Metropolitan Statistical Area","Las Vegas-Paradise, NV",145,32,3,5102,32003005102,51.02,Census Tract 51.02,G5020,S,1902140,0,36.0610852,-115.0898866
USA.PointAddress,M,100,A,"601 S Rancho Dr, Las Vegas, Nevada, 89106",PointAddress,Las Vegas,89106,USA,0,-115.172567,36.163438,20121005,2012,1005,Chronos Consulting,601 S Rancho Dr,Suite D32,Las Vegas,89106,Human Resources,2003,2715609,5,3.152,1,32003,NV,Clark County,32,29820,"Las Vegas-Paradise, NV Metropolitan Statistical Area","Las Vegas-Paradise, NV",156,32,3,203,32003000203,2.03,Census Tract 2.03,G5020,S,2039395,0,36.1675088,-115.1668733
USA.PointAddress,M,100,A,"2020 Mendenhall Dr, North Las Vegas, Nevada, 89081",PointAddress,North Las Vegas,89081,USA,0,-115.119531,36.241788,20110098,2011,98,Cadillac Stone Works,2020 Mendenhall Dr., ,North Las Vegas,89081,Construction,0,4157071,12,26.77014,1,32003,NV,Clark County,32,29820,"Las Vegas-Paradise, NV Metropolitan Statistical Area","Las Vegas-Paradise, NV",175,32,3,3615,32003003615,36.15,Census Tract 36.15,G5020,S,2568091,0,36.2396345,-115.1255528
USA.StreetAddress,M,90.92,A,"2860 N Commerce St, North Las Vegas, Nevada, 89030",StreetAddress,North Las Vegas,89030,USA,0,-115.142872,36.211496,20092207,2009,2208,All Systems Go,2860 North Commerce, ,North Las Vegas,89030,Construction,2001,4027734,50,1.427,1,32003,NV,Clark County,32,29820,"Las Vegas-Paradise, NV Metropolitan Statistical Area","Las Vegas-Paradise, NV",178,32,3,3700,32003003700,37,Census Tract 37,G5020,S,4564797,0,36.2077169,-115.1414214
USA.Postal,M,100,A,"89169, Las Vegas, Nevada",Postal,Las Vegas,89169,USA,0,-115.143517,36.126871,20082628,2008,2622,Chronos Systems Inc,"Howard Hughes Center, 3960 Howard Hughes Pway",Ste 500,Las Vegas,89169,IT Services,2002,2662600,0,1.3949,1,32003,NV,Clark County,32,29820,"Las Vegas-Paradise, NV Metropolitan Statistical Area","Las Vegas-Paradise, NV",215,32,3,2404,32003002404,24.04,Census Tract 24.04,G5020,S,683026,0,36.1259591,-115.141625
USA.PointAddress,M,100,A,"2080 E Flamingo Rd, Las Vegas, Nevada, 89119",PointAddress,Las Vegas,89119,USA,0,-115.12448,36.114748,20140283,2014,283,FreeRateUpdate.com,2080 East Flamingo Road Ste 118, ,Las Vegas,89119,Advertising & Marketing,2009,8168477,20,16.1201,1,32003,NV,Clark County,32,29820,"Las Vegas-Paradise, NV Metropolitan Statistical Area","Las Vegas-Paradise, NV",255,32,3,2501,32003002501,25.01,Census Tract 25.01,G5020,S,2798927,0,36.1222392,-115.1281242
USA.StreetAddress,M,100,A,"2520 St Rose Pkwy, Henderson, Nevada, 89074",StreetAddress,Henderson,89074,USA,0,-115.100992,36.017721,20092693,2009,2694,Prime Choice Foods,2520 St. Rose Parkway,Suite 307,Henderson,89074,Food & Beverage,2000,21845000,120,1.086,1,32003,NV,Clark County,32,29820,"Las Vegas-Paradise, NV Metropolitan Statistical Area","Las Vegas-Paradise, NV",259,32,3,5322,32003005322,53.22,Census Tract 53.22,G5020,S,2177179,0,36.0171373,-115.110747
USA.Postal,M,100,A,"89074, Henderson, Nevada",Postal,Henderson,89074,USA,0,-115.103831,36.030899,20150416,2015,416,Enzu,2360 Corp Cir Ste 400, ,Henderson,89074,IT Services,2005,3848078,27,11.4125,1,32003,NV,Clark County,32,29820,"Las Vegas-Paradise, NV Metropolitan Statistical Area","Las Vegas-Paradise, NV",260,32,3,5320,32003005320,53.2,Census Tract 53.20,G5020,S,888584,0,36.0311016,-115.1071133
USA.StreetAddress,M,100,A,"9041 S Pecos Rd, Henderson, Nevada, 89074",StreetAddress,Henderson,89074,USA,0,-115.100733,36.025128,20150079,2015,79,InsureMonkey,9041 S. Pecos Rd.,Ste. 4200,Henderson,89074,Software,2009,6245980,132,37.7706,1,32003,NV,Clark County,32,29820,"Las Vegas-Paradise, NV Metropolitan Statistical Area","Las Vegas-Paradise, NV",262,32,3,5319,32003005319,53.19,Census Tract 53.19,G5020,S,1441603,0,36.027009,-115.1080689
USA.StreetName,M,100,A,"S Escondido St, Las Vegas, Nevada, 89119",StreetName,Las Vegas,89119,USA,0,-115.135318,36.111117,20120323,2012,323,CPAlead,66845 South Escondido Street,Suite #107,Las Vegas,89119,Advertising & Marketing,2006,21197251,23,11.664,1,32003,NV,Clark County,32,29820,"Las Vegas-Paradise, NV Metropolitan Statistical Area","Las Vegas-Paradise, NV",264,32,3,2506,32003002506,25.06,Census Tract 25.06,G5020,S,647391,0,36.1111658,-115.1329807
USA.PointAddress,M,100,A,"3036 S Valley View Blvd, Las Vegas, Nevada, 89102",PointAddress,Las Vegas,89102,USA,0,-115.190426,36.135082,20092955,2009,2956,Lawyer Trane,3036 S. Valley View Blvd.,N/A,Las Vegas,89102,Construction,1969,41105500,55,0.943,1,32003,NV,Clark County,32,29820,"Las Vegas-Paradise, NV Metropolitan Statistical Area","Las Vegas-Paradise, NV",269,32,3,2204,32003002204,22.04,Census Tract 22.04,G5020,S,672066,0,36.1375004,-115.1950167
USA.PointAddress,M,100,A,"3225 McLeod Dr, Las Vegas, Nevada, 89121",PointAddress,Las Vegas,89121,USA,0,-115.109875,36.13135,20101261,2010,1259,BOSS Business Services,3225 McLeod Dr., ,Las Vegas,89121,Business Products & Services,1993,5776060,38,2.357,1,32003,NV,Clark County,32,29820,"Las Vegas-Paradise, NV Metropolitan Statistical Area","Las Vegas-Paradise, NV",272,32,3,1803,32003001803,18.03,Census Tract 18.03,G5020,S,955529,0,36.1334104,-115.1119451
